op,op_type,source_path,load_time_deps,runtime_deps,dependency_groups,notes
image_detection_yolo_mapper,mapper,data_juicer/ops/mapper/image_detection_yolo_mapper.py,numpy,torch; ultralytics,core; generic; vision,
image_diffusion_mapper,mapper,data_juicer/ops/mapper/image_diffusion_mapper.py,pillow; pydantic; typing-extensions,,core,
image_face_blur_mapper,mapper,data_juicer/ops/mapper/image_face_blur_mapper.py,loguru; pillow; pydantic,opencv-contrib-python,core; vision,
image_mmpose_mapper,mapper,data_juicer/ops/mapper/image_mmpose_mapper.py,loguru,,core,
image_remove_background_mapper,mapper,data_juicer/ops/mapper/image_remove_background_mapper.py,,onnxruntime; rembg,generic; vision,
image_sam_3d_body_mapper,mapper,data_juicer/ops/mapper/image_sam_3d_body_mapper.py,loguru; numpy,appdirs; appnope; black; chump; cython; dill; einops; ffmpeg; fvcore; huggingface_hub; hydra-colorlog; hydra-core; hydra-submitit-launcher; joblib; jsonlines; loguru; networkx==3.2.1; opencv-contrib-python; optree; pandas; pycocotools; pyrender; pyrootutils; pytest; pytorch-lightning; rich; roma; scikit-image; seaborn; tensorboard; timm; wandb; webdataset; xtcocotools; yacs,core; dev; generic; undeclared_or_transitive; vision,
image_segment_mapper,mapper,data_juicer/ops/mapper/image_segment_mapper.py,numpy,torch; ultralytics,core; generic; vision,
image_tagging_mapper,mapper,data_juicer/ops/mapper/image_tagging_mapper.py,numpy,ram @ git+https://github.com/datajuicer/recognize-anything.git,core; undeclared_or_transitive,
image_tagging_vlm_mapper,mapper,data_juicer/ops/mapper/image_tagging_vlm_mapper.py,loguru; numpy; pydantic,torch; vllm,core; generic,
imgdiff_difference_area_generator_mapper,mapper,data_juicer/ops/mapper/imgdiff_difference_area_generator_mapper.py,numpy,nltk; opencv-contrib-python,core; nlp; vision,
imgdiff_difference_caption_generator_mapper,mapper,data_juicer/ops/mapper/imgdiff_difference_caption_generator_mapper.py,numpy,opencv-contrib-python,core; vision,
landing_page_image_schema_finalize_mapper,mapper,data_juicer/ops/mapper/landing_page_image_schema_finalize_mapper.py,pyarrow,,core,
landing_page_image_url_mapper,mapper,data_juicer/ops/mapper/landing_page_image_url_mapper.py,,,,
latex_figure_context_extractor_mapper,mapper,data_juicer/ops/mapper/latex_figure_context_extractor_mapper.py,loguru; regex,,core,
latex_merge_tex_mapper,mapper,data_juicer/ops/mapper/latex_merge_tex_mapper.py,loguru,,core,
mllm_mapper,mapper,data_juicer/ops/mapper/mllm_mapper.py,,torch; transformers,generic,
nlpaug_en_mapper,mapper,data_juicer/ops/mapper/nlpaug_en_mapper.py,loguru; pydantic,nlpaug,core; nlp,
nlpcda_zh_mapper,mapper,data_juicer/ops/mapper/nlpcda_zh_mapper.py,loguru; pydantic,nlpcda,core; nlp,
optimize_prompt_mapper,mapper,data_juicer/ops/mapper/optimize_prompt_mapper.py,loguru; pydantic,torch; vllm,core; generic,
optimize_qa_mapper,mapper,data_juicer/ops/mapper/optimize_qa_mapper.py,loguru; pydantic,torch; vllm,core; generic,
